transect,meter_location,wet_mass_g,dried_mass_g,electro_cond,plant_sample_corres
NCOS_1_NS,4,261.43,,,92
NCOS_1_NS,12,106.288,,,94
NCOS_1_NS,20,161.991,,,95
NCOS_1_NS,28,164.636,,,96
NCOS_2_NS,4,192.295,,,101
NCOS_2_NS,12,200.007,,,NA
NCOS_2_NS,20,145.607,,,NA
NCOS_2_NS,28,135.04,,,NA
NCOS_2_EW,4,129.297,,,97
NCOS_2_EW,12,151.423,,,98
NCOS_2_EW,20,225.442,,,99
NCOS_2_EW,28,117.311,,,100
