Name,Meta1,Meta2,Meta3,brightness
220504c.15m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0965942
220504c.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.120872
220504c.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.115221
220504c.18m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.122526
220504c.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.127057
220504c.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135752
220504c.21m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.241163
220504b.18m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.153500
220504b.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.153768
220504b.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.160868
220504b.15m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.119547
220504b.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.128813
220504b.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.122725
220504b.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0917557
220504b.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.111061
220504b.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.114036
220504b.9m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.120479
220504b.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0982790
220504a.0m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.180861
220504a.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.125835
220504a.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.137203
220504a.00020.asd                 No-OAR,Pervious,Plants,Pickleweed,0.134987
220504a.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135123
220504a.5m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148422
220504a.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.149075
220504a.7m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.121561
220504a.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.132501
220504a.9m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.125375
220504a.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.138551
220504a.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.166124
220504a.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.168690
220504a.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.166752
220504a.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.186205
220504b.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.131151
220504a.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.196997
220504a.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135259
220504b.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.134795
220504a.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148228
220504a.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135138
220504b.3m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148132
220504a.22m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.121738
220504a.23m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.127370
220504a.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.129136
220504a.25m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.226044
220504a.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.146340
220504b.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.106895
220504a.28m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.157026
220504a.29m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.142509
220504b.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.129525
220504a.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.171332
220504d.9m.asd                 No-OAR,Impervious,Reference,White Ref,1.00891
