Name,Meta1,Meta2,Meta3,brightness
220510d.12m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.168901
220510a.28m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.187645
220510d.14m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.137751
220510d.15m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.129899
220510a.11m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.0926510
220510d.17m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.133859
220510d.18m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.115299
220510d.19m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.122173
220510d.20m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.152785
220510d.21m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.133813
220510d.22m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.124217
220510d.23m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.121791
220510d.24m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.126865
220510d.25m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.133349
220510d.26m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.140028
220510d.27m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.179597
220510a.7m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.0807299
220510a.6m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.103139
220510a.5m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.106376
220510a.4m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.0971809
220510a.27m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.169473
220510a.26m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.150041
220510a.12m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.0959704
220510a.24m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.149361
220510a.23m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.131882
220510a.22m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.121254
220510a.21m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.104985
220510a.20m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.126206
220510a.19m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.128969
220510a.18m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.0930842
220510a.17m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.106656
220510a.16m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.0899294
220510a.15m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.0899096
220510a.14m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.103621
220510d.13m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.169421
220510a.13m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.112390
220510a.3m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.0981336
220510a.2m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.120726
220510a.1m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.104800
220510a.0m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.0927684
220510b.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.121249
220510b.31m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.147471
220510b.30m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.140444
220510b.29m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.240377
220510d.16m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.147713
220510b.27m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.157069
220510b.26m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.155394
220510b.25m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.178838
220510b.24m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.142383
220510b.23m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.136777
220510b.22m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.114427
220510a.10m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.0923020
220510d.9m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.113790
