Name,Meta1,Meta2
220420a.0m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.1m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.2m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.3m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.4m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.5m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.6m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.7m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.8m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.9m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.10m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.11m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.12m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.13m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.14m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.15m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.16m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.17m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.18m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.19m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.20m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.21m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.22m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.23m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.24m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.25m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.26m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.27m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.28m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.29m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.30m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.31m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420a.32m.asd                 No-OAR  ,pervious,Marsh
