Name,Meta1,Meta2
220420c.0m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.1m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.2m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.3m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.4m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.5m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.6m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.7m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.8m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.9m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.10m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.11m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.12m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.13m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.14m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.15m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.16m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.17m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.18m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.19m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.20m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.21m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.22m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.23m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.24m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.25m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.26m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.27m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.28m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.29m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.30m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.31m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420c.32m.asd                 No-OAR  ,pervious,Marsh
