Name,Meta1,Meta2,Meta3,brightness
Algae [Sienna] 9 points,Pervious,Water,Algae,0.113696
Bare Soil [Green] 31 points,Pervious,Bare Soil,Bare Soil,0.338303
Beach Sand [Blue] 10 points,Pervious,Bare Soil,Beach Sand,0.285607
High Marsh [Maroon] 3 points,Pervious,Plants,High Marsh,0.175258
Marsh Sand [Red] 9 points,Pervious,Bare Soil,Marsh Sand,0.427483
Mud [Aquamarine] 2 points,Pervious,Bare Soil,Mud,0.188693
NPV [Sea Green] 22 points,Pervious,NPV,NPV,0.243831
Pickleweed [Orchid] 18 points,Pervious,Plants,Pickleweed,0.158818
Shallow Water [Magenta] 5 points,Pervious,Water,Shallow Water,0.107193
Trees [Purple] 6 points,Pervious,Plants,Trees,0.138451
Water [Cyan] 18 points,Pervious,Water,Water,0.0673707
Wet Sand [Yellow] 4 points,Pervious,Bare Soil,Wet Sand,0.142186
