Band,Wavelength,High,Mid 1,Mid 2,Low
118,963.205627,0.214263,0.223709,0.23137,0.310583
119,968.215637,0.213502,0.224715,0.233702,0.311951
120,973.225647,0.215363,0.226153,0.233206,0.313604
121,978.235657,0.216459,0.226145,0.234066,0.316604
122,983.245667,0.216584,0.227258,0.233551,0.316324
123,988.255676,0.220103,0.231253,0.235654,0.317997
124,993.265625,0.219657,0.23063,0.23557,0.320232
125,998.275635,0.220975,0.231446,0.236981,0.320484
126,1003.275635,0.222809,0.233425,0.236662,0.32176
127,1008.285645,0.223213,0.235145,0.238416,0.323315
128,1013.295654,0.223831,0.235078,0.239571,0.324422
129,1018.305664,0.224659,0.235815,0.241945,0.323824
130,1023.315674,0.225411,0.237726,0.241873,0.325618
131,1028.325684,0.2283,0.239769,0.242338,0.3261
132,1033.335693,0.229017,0.241379,0.244791,0.326891
133,1038.335693,0.230632,0.242627,0.245941,0.329381
134,1043.345703,0.231071,0.244489,0.243944,0.329235
135,1048.355591,0.230804,0.244445,0.245364,0.329432
136,1053.365601,0.231947,0.244419,0.246546,0.332123
137,1058.37561,0.234075,0.246765,0.248477,0.332516
138,1063.38562,0.233918,0.246126,0.247099,0.332348
139,1068.39563,0.234132,0.247534,0.248613,0.33313
140,1073.40564,0.2366,0.24873,0.249452,0.333753
141,1078.40564,0.2376,0.250905,0.250229,0.336541
142,1083.415649,0.238964,0.250897,0.251182,0.336542
143,1088.425659,0.23771,0.249542,0.251819,0.337487
144,1093.435669,0.239086,0.251889,0.252066,0.339109
145,1098.445679,0.238373,0.25197,0.25356,0.341612
146,1103.455688,0.241503,0.252885,0.254518,0.342464
147,1108.465698,0.239392,0.251896,0.255118,0.343078
148,1113.465698,0.24396,0.255841,0.257551,0.341234
149,1118.475708,0.23815,0.250721,0.256948,0.344275
150,1123.485596,0.238564,0.252259,0.255199,0.337398
151,1128.495605,0.236327,0.248291,0.252386,0.34157
152,1133.505615,0.238049,0.247812,0.256134,0.34422
153,1138.515625,0.234704,0.245746,0.25729,0.346332
154,1143.525635,0.233835,0.243102,0.257199,0.349615
155,1148.535645,0.229848,0.237092,0.255968,0.346901
156,1153.535645,0.226008,0.234239,0.255156,0.345816
157,1158.545654,0.229462,0.237017,0.25356,0.352742
158,1163.555664,0.229678,0.235937,0.253124,0.351898
159,1168.565674,0.227865,0.23535,0.254799,0.354024
160,1173.575684,0.228144,0.234406,0.255723,0.352933
161,1178.585693,0.228113,0.234407,0.255169,0.355091
162,1183.595703,0.228493,0.234428,0.255263,0.353978
163,1188.595703,0.22707,0.234762,0.255923,0.354982
164,1193.605591,0.227838,0.23445,0.255599,0.355493
165,1198.615601,0.230921,0.237767,0.255675,0.35808
166,1203.62561,0.229737,0.236118,0.256318,0.360464
167,1208.63562,0.231996,0.238252,0.259692,0.361973
