Band,Wavelength,High,Mid 1,Mid 2,Low
118,963.205627,0.180616,0.186094,0.190607,0.175978
119,968.215637,0.181187,0.185716,0.192463,0.1773
120,973.225647,0.179611,0.184923,0.190378,0.175658
121,978.235657,0.179738,0.185184,0.191698,0.176613
122,983.245667,0.181686,0.18674,0.192646,0.178524
123,988.255676,0.182524,0.187328,0.193864,0.179254
124,993.265625,0.184003,0.189365,0.195927,0.180076
125,998.275635,0.186126,0.192071,0.198041,0.183946
126,1003.275635,0.18854,0.194113,0.199401,0.184854
127,1008.285645,0.191235,0.19614,0.201768,0.187587
128,1013.295654,0.192552,0.197746,0.204302,0.188706
129,1018.305664,0.19461,0.200884,0.206811,0.191446
130,1023.315674,0.198025,0.203464,0.208631,0.193641
131,1028.325684,0.199382,0.205516,0.2112,0.19578
132,1033.335693,0.20096,0.208023,0.213242,0.197347
133,1038.335693,0.203321,0.21004,0.216686,0.200271
134,1043.345703,0.205527,0.211687,0.217409,0.202289
135,1048.355591,0.20753,0.214242,0.219638,0.204249
136,1053.365601,0.209096,0.215195,0.220994,0.205422
137,1058.37561,0.210732,0.216757,0.221717,0.206989
138,1063.38562,0.212006,0.219206,0.224242,0.207921
139,1068.39563,0.211973,0.218847,0.223916,0.207641
140,1073.40564,0.211241,0.218084,0.225005,0.207522
141,1078.40564,0.213026,0.22027,0.225478,0.209665
142,1083.415649,0.213218,0.219391,0.225474,0.208742
143,1088.425659,0.214002,0.220621,0.226921,0.210714
144,1093.435669,0.212718,0.219094,0.224831,0.208108
145,1098.445679,0.213834,0.219916,0.225108,0.209331
146,1103.455688,0.212878,0.219832,0.224541,0.207312
147,1108.465698,0.213251,0.217264,0.223699,0.206627
148,1113.465698,0.207687,0.216263,0.219857,0.202783
149,1118.475708,0.21183,0.219819,0.221306,0.20064
150,1123.485596,0.21535,0.218541,0.220812,0.197644
151,1128.495605,0.212658,0.215056,0.218827,0.198554
152,1133.505615,0.202032,0.209638,0.214824,0.194556
153,1138.515625,0.191776,0.196291,0.204338,0.18774
154,1143.525635,0.184514,0.192072,0.194003,0.177542
155,1148.535645,0.175359,0.185219,0.18695,0.171436
156,1153.535645,0.17015,0.174841,0.182616,0.16506
157,1158.545654,0.165475,0.170491,0.17738,0.161229
158,1163.555664,0.164244,0.170026,0.177017,0.161857
159,1168.565674,0.163402,0.168196,0.17674,0.16049
160,1173.575684,0.163881,0.168467,0.176688,0.161204
161,1178.585693,0.162839,0.168723,0.175553,0.159762
162,1183.595703,0.16245,0.167016,0.174628,0.159597
163,1188.595703,0.161946,0.167309,0.174332,0.159137
164,1193.605591,0.16301,0.167642,0.175923,0.159768
165,1198.615601,0.164026,0.168948,0.176631,0.16053
166,1203.62561,0.165232,0.169691,0.176252,0.159562
167,1208.63562,0.163574,0.168432,0.175637,0.159589
168,1213.64563,0.165448,0.171211,0.177812,0.161868
169,1218.65564,0.167334,0.17163,0.179978,0.163996
170,1223.665649,0.169138,0.174061,0.18126,0.165091
171,1228.665649,0.170674,0.174754,0.183437,0.166222
172,1233.675659,0.172149,0.17687,0.185067,0.167827
173,1238.685669,0.175778,0.179985,0.187666,0.170653
174,1243.695679,0.17642,0.18037,0.189529,0.171713
