Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.003798,0.009145,0.005986,0.010029
2,382.205658,-0.000233,-0.00022,-0.000235,-0.000062
3,387.215637,-0.001619,-0.000841,-0.00019,0.001453
4,392.225647,0.003898,0.006191,0.006888,0.010513
5,397.225647,0.00944,0.012062,0.010925,0.01941
6,402.235657,0.011592,0.013107,0.012476,0.019215
7,407.245636,0.017183,0.019401,0.019551,0.025327
8,412.255646,0.025508,0.027121,0.027433,0.034212
9,417.265656,0.025419,0.028276,0.028006,0.035276
10,422.275635,0.027845,0.030016,0.030889,0.037509
11,427.285645,0.031131,0.034603,0.034874,0.042936
12,432.295654,0.035071,0.037402,0.038263,0.046259
13,437.295654,0.036619,0.038891,0.039192,0.049714
14,442.305664,0.037695,0.041127,0.041413,0.051495
15,447.315643,0.03925,0.042034,0.042853,0.054606
16,452.325653,0.038316,0.042426,0.043556,0.05338
17,457.335663,0.040127,0.043464,0.043618,0.055826
18,462.345642,0.039848,0.044135,0.044783,0.056115
19,467.355652,0.039485,0.04369,0.044914,0.055442
20,472.355652,0.040653,0.044702,0.045656,0.056481
21,477.365662,0.042793,0.04755,0.047828,0.060121
22,482.375641,0.044872,0.049035,0.050517,0.062916
23,487.385651,0.045258,0.05021,0.050461,0.063763
24,492.39566,0.045695,0.049889,0.049983,0.06386
25,497.40564,0.045603,0.0509,0.052386,0.066129
26,502.415649,0.047637,0.053927,0.053255,0.068798
27,507.425659,0.048742,0.054224,0.054689,0.070047
28,512.425659,0.05081,0.056693,0.055531,0.072339
29,517.435669,0.051972,0.05745,0.057393,0.074218
30,522.445679,0.050427,0.056127,0.055947,0.073048
31,527.455627,0.052848,0.058835,0.058373,0.076168
32,532.465637,0.055705,0.06173,0.060321,0.078643
33,537.475647,0.057845,0.064597,0.06284,0.082713
34,542.485657,0.057971,0.065971,0.063834,0.083638
35,547.485657,0.05814,0.065092,0.062795,0.083427
36,552.495667,0.058546,0.066557,0.064385,0.085961
37,557.505676,0.060285,0.068142,0.066916,0.088963
38,562.515625,0.060424,0.068519,0.066268,0.090715
39,567.525635,0.060971,0.068466,0.066858,0.090747
40,572.535645,0.061203,0.069731,0.068882,0.093006
41,577.545654,0.060319,0.068867,0.068546,0.093356
42,582.555664,0.061096,0.069955,0.069241,0.093209
43,587.555664,0.062864,0.072071,0.070202,0.097162
44,592.565674,0.062915,0.072826,0.07127,0.097408
45,597.575623,0.062547,0.072182,0.071388,0.097034
46,602.585632,0.063478,0.072251,0.07097,0.098504
47,607.595642,0.063825,0.073213,0.072224,0.099429
48,612.605652,0.064528,0.073652,0.073062,0.099668
49,617.615662,0.064623,0.073908,0.073985,0.100988
50,622.615662,0.065433,0.074974,0.073668,0.10235
51,627.625671,0.065493,0.075482,0.074749,0.101523
52,632.63562,0.066575,0.07546,0.07475,0.10298
53,637.64563,0.066353,0.076068,0.075683,0.10441
54,642.65564,0.067878,0.077741,0.076255,0.105283
55,647.665649,0.06842,0.079023,0.077256,0.106199
56,652.675659,0.066801,0.077131,0.077285,0.105251
57,657.685669,0.066618,0.076841,0.076372,0.104567
58,662.685669,0.067485,0.077604,0.078305,0.10612
59,667.695679,0.067227,0.078,0.077299,0.106456
60,672.705627,0.070248,0.079858,0.079939,0.108289
61,677.715637,0.066763,0.078495,0.076949,0.107725
62,682.725647,0.067707,0.07872,0.078019,0.107278
63,687.735657,0.069389,0.07998,0.079574,0.110848
64,692.745667,0.073348,0.084757,0.082129,0.113401
65,697.745667,0.079339,0.091279,0.086386,0.115089
66,702.755676,0.085317,0.096385,0.090503,0.119201
67,707.765625,0.091465,0.103561,0.093241,0.120723
68,712.775635,0.09528,0.10716,0.097238,0.12196
69,717.785645,0.100809,0.113604,0.099207,0.123571
70,722.795654,0.107032,0.119656,0.104798,0.12561
71,727.805664,0.110557,0.124745,0.107205,0.128265
72,732.815674,0.114057,0.127981,0.109935,0.127552
73,737.815674,0.116092,0.131782,0.110678,0.128612
74,742.825623,0.118553,0.132972,0.112755,0.129337
75,747.835632,0.119694,0.134186,0.114867,0.131308
76,752.845642,0.121782,0.137065,0.114228,0.133516
77,757.855652,0.123279,0.137408,0.117446,0.131875
78,762.865662,0.123614,0.13861,0.116643,0.128386
79,767.875671,0.125641,0.142169,0.119519,0.136766
80,772.875671,0.127751,0.143886,0.120814,0.137647
81,777.88562,0.1291,0.146893,0.123295,0.142027
82,782.89563,0.130853,0.147016,0.123846,0.142684
83,787.90564,0.131957,0.147766,0.125681,0.144236
84,792.915649,0.132251,0.148524,0.127205,0.145617
85,797.925659,0.132646,0.15019,0.128171,0.145031
86,802.935669,0.132406,0.149133,0.127373,0.145818
87,807.945679,0.134068,0.151484,0.127987,0.147279
88,812.945679,0.136966,0.152053,0.128787,0.146
89,817.955627,0.136287,0.153584,0.131362,0.149436
90,822.965637,0.137248,0.153977,0.13193,0.149312
91,827.975647,0.137669,0.154711,0.132908,0.148526
92,832.985657,0.140391,0.156712,0.13444,0.15014
93,837.995667,0.141249,0.158651,0.136415,0.151228
94,843.005676,0.142593,0.1603,0.136106,0.151553
95,848.005676,0.143988,0.160734,0.137161,0.153012
96,853.015625,0.144838,0.161679,0.13872,0.15333
97,858.025635,0.14489,0.16274,0.140476,0.152513
98,863.035645,0.14489,0.164076,0.141887,0.152471
99,868.045654,0.148092,0.164494,0.141984,0.153189
100,873.055664,0.147368,0.165917,0.141126,0.154608
101,878.065674,0.148732,0.166576,0.143504,0.154586
102,883.075623,0.150029,0.166964,0.144514,0.154975
103,888.075623,0.149764,0.169262,0.143661,0.15789
104,893.085632,0.152332,0.169463,0.145164,0.155201
105,898.095642,0.15064,0.170555,0.145485,0.155285
106,903.105652,0.15215,0.169548,0.146981,0.156394
107,908.115662,0.152879,0.171908,0.1473,0.158359
108,913.125671,0.153038,0.172748,0.148385,0.156708
