Band,Wavelength,High,Mid 1,Mid 2,Low
118,963.205627,0.166341,0.139767,0.161372,0.140416
119,968.215637,0.166885,0.141986,0.160102,0.14038
120,973.225647,0.166748,0.142682,0.160393,0.142041
121,978.235657,0.16738,0.142397,0.161169,0.140956
122,983.245667,0.168037,0.142469,0.162553,0.142143
123,988.255676,0.170026,0.143633,0.163637,0.142899
124,993.265625,0.171252,0.144915,0.164529,0.145066
125,998.275635,0.170977,0.146393,0.165169,0.145251
126,1003.275635,0.172715,0.147722,0.16688,0.146261
127,1008.285645,0.175417,0.149047,0.169084,0.148934
128,1013.295654,0.177988,0.14747,0.171913,0.14783
129,1018.305664,0.178711,0.148999,0.172298,0.150605
130,1023.315674,0.18037,0.15064,0.174395,0.151857
131,1028.325684,0.182882,0.152243,0.175656,0.153181
132,1033.335693,0.184968,0.154318,0.177763,0.155068
133,1038.335693,0.185857,0.153592,0.179149,0.155041
134,1043.345703,0.186318,0.15393,0.17922,0.154964
135,1048.355591,0.18802,0.155609,0.182068,0.157213
136,1053.365601,0.189906,0.155592,0.183073,0.157755
137,1058.37561,0.190684,0.159014,0.183118,0.16041
138,1063.38562,0.191657,0.158432,0.185168,0.160731
139,1068.39563,0.192986,0.158797,0.186322,0.161614
140,1073.40564,0.19434,0.159739,0.187439,0.16165
141,1078.40564,0.194623,0.159332,0.187798,0.162066
142,1083.415649,0.19571,0.160437,0.187957,0.163282
143,1088.425659,0.195725,0.16063,0.187537,0.163507
144,1093.435669,0.197164,0.162091,0.188323,0.164645
145,1098.445679,0.194237,0.163512,0.187843,0.163959
146,1103.455688,0.195594,0.162623,0.18788,0.164272
147,1108.465698,0.198903,0.162166,0.191016,0.163781
148,1113.465698,0.196738,0.163407,0.187927,0.164801
149,1118.475708,0.193473,0.165501,0.185321,0.163325
150,1123.485596,0.193781,0.164416,0.183614,0.160769
151,1128.495605,0.193211,0.162711,0.184396,0.158839
152,1133.505615,0.189986,0.163804,0.181482,0.160378
153,1138.515625,0.184729,0.160594,0.17953,0.157052
154,1143.525635,0.17952,0.159018,0.171684,0.152051
155,1148.535645,0.176392,0.156362,0.167395,0.149453
156,1153.535645,0.173397,0.155491,0.164337,0.146773
157,1158.545654,0.171078,0.153692,0.1637,0.146644
158,1163.555664,0.170197,0.151929,0.161285,0.144137
159,1168.565674,0.169876,0.151698,0.160811,0.143425
160,1173.575684,0.167486,0.151359,0.159976,0.144009
161,1178.585693,0.167518,0.150622,0.159729,0.143521
162,1183.595703,0.166795,0.151071,0.158524,0.143504
163,1188.595703,0.167836,0.149964,0.158995,0.142115
164,1193.605591,0.16641,0.149893,0.16031,0.141705
165,1198.615601,0.166325,0.151954,0.157675,0.142718
166,1203.62561,0.167199,0.152108,0.159305,0.143125
167,1208.63562,0.168522,0.151836,0.159205,0.142914
168,1213.64563,0.169217,0.152809,0.160203,0.144044
169,1218.65564,0.171475,0.154748,0.161877,0.145312
170,1223.665649,0.171851,0.156633,0.16304,0.147813
171,1228.665649,0.173288,0.157718,0.164647,0.148944
172,1233.675659,0.176727,0.158772,0.167646,0.149329
173,1238.685669,0.176185,0.158855,0.167362,0.150639
174,1243.695679,0.177685,0.162138,0.168525,0.153064
175,1248.705688,0.179887,0.163157,0.170654,0.153639
176,1253.715698,0.18054,0.16255,0.170814,0.153588
177,1258.725708,0.182755,0.161652,0.171678,0.153316
178,1263.725708,0.178999,0.161397,0.170492,0.152033
179,1268.735596,0.182984,0.165478,0.172431,0.15495
180,1273.745605,0.186124,0.166463,0.175798,0.156601
181,1278.755615,0.186415,0.166967,0.176619,0.156955
182,1283.765625,0.185678,0.168451,0.17531,0.158395
183,1288.775635,0.187271,0.168257,0.176766,0.157699
184,1293.785645,0.18866,0.170093,0.178321,0.159355
