Band,Wavelength,High,Mid 1,Mid 2,Low
118,963.205627,0.205017,0.195053,0.217801,0.220859
119,968.215637,0.207162,0.195573,0.221281,0.223528
120,973.225647,0.20802,0.196736,0.22153,0.222757
121,978.235657,0.21052,0.197244,0.220353,0.222517
122,983.245667,0.210902,0.198131,0.219954,0.224528
123,988.255676,0.213558,0.199766,0.221363,0.225614
124,993.265625,0.213331,0.201596,0.223904,0.226142
125,998.275635,0.213745,0.202353,0.224091,0.226639
126,1003.275635,0.215729,0.203491,0.224981,0.228457
127,1008.285645,0.215603,0.205886,0.226242,0.229305
128,1013.295654,0.217913,0.20529,0.227357,0.230901
129,1018.305664,0.218692,0.207059,0.229403,0.232567
130,1023.315674,0.221242,0.206519,0.23043,0.233265
131,1028.325684,0.221541,0.208051,0.230236,0.233877
132,1033.335693,0.222744,0.210465,0.229621,0.234106
133,1038.335693,0.223511,0.211405,0.233099,0.235799
134,1043.345703,0.224258,0.212177,0.231263,0.235891
135,1048.355591,0.22439,0.211303,0.232106,0.235946
136,1053.365601,0.225705,0.212174,0.232984,0.237599
137,1058.37561,0.226869,0.213932,0.236344,0.238878
138,1063.38562,0.227854,0.213815,0.236286,0.239132
139,1068.39563,0.229115,0.214618,0.234951,0.23887
140,1073.40564,0.229657,0.215388,0.236147,0.24071
141,1078.40564,0.230212,0.216516,0.237968,0.241293
142,1083.415649,0.230961,0.217078,0.237749,0.241726
143,1088.425659,0.230672,0.216148,0.237764,0.241498
144,1093.435669,0.233088,0.218182,0.239547,0.242536
145,1098.445679,0.231415,0.217657,0.242548,0.245215
146,1103.455688,0.233034,0.219238,0.241223,0.244655
147,1108.465698,0.230609,0.21835,0.240947,0.243119
148,1113.465698,0.23051,0.219605,0.241257,0.242318
149,1118.475708,0.230463,0.213851,0.232944,0.233203
150,1123.485596,0.224737,0.208893,0.225895,0.232131
151,1128.495605,0.219328,0.206329,0.22989,0.231052
152,1133.505615,0.218477,0.212596,0.233924,0.237485
153,1138.515625,0.21795,0.207825,0.237871,0.239038
154,1143.525635,0.218614,0.203886,0.233409,0.232427
155,1148.535645,0.212942,0.202094,0.236232,0.234478
156,1153.535645,0.212796,0.201619,0.235613,0.237435
157,1158.545654,0.215149,0.205766,0.238048,0.237409
158,1163.555664,0.213399,0.205515,0.24034,0.23871
159,1168.565674,0.21363,0.204,0.240314,0.240106
160,1173.575684,0.213856,0.204751,0.241089,0.241418
