Band,Wavelength,High,Mid 1,Mid 2,Low
118,963.205627,0.14506,0.141234,0.216628,0.307499
119,968.215637,0.144826,0.139288,0.220313,0.314049
120,973.225647,0.14495,0.141744,0.220662,0.313074
121,978.235657,0.145292,0.141735,0.219588,0.311988
122,983.245667,0.14754,0.143239,0.223097,0.316232
123,988.255676,0.147445,0.144003,0.22137,0.315235
124,993.265625,0.149319,0.145378,0.22505,0.317799
125,998.275635,0.151849,0.148798,0.229816,0.320044
126,1003.275635,0.152916,0.149873,0.228828,0.32071
127,1008.285645,0.153578,0.149471,0.227132,0.320556
128,1013.295654,0.155884,0.152034,0.229708,0.320853
129,1018.305664,0.156514,0.152807,0.231071,0.324184
130,1023.315674,0.157728,0.154222,0.232285,0.322365
131,1028.325684,0.159087,0.155648,0.232443,0.323902
132,1033.335693,0.161228,0.157649,0.232561,0.32311
133,1038.335693,0.162398,0.158701,0.233756,0.324941
134,1043.345703,0.163529,0.159153,0.233916,0.325405
135,1048.355591,0.163804,0.162016,0.236281,0.324284
136,1053.365601,0.16464,0.160101,0.238068,0.327914
137,1058.37561,0.166136,0.162469,0.237841,0.325222
138,1063.38562,0.166189,0.162882,0.237308,0.326573
139,1068.39563,0.166772,0.163527,0.240008,0.325381
140,1073.40564,0.167982,0.16486,0.238345,0.328204
141,1078.40564,0.168324,0.163589,0.238981,0.329652
142,1083.415649,0.168489,0.164949,0.242102,0.331381
143,1088.425659,0.168248,0.165462,0.241819,0.332544
144,1093.435669,0.169564,0.165393,0.240407,0.330985
145,1098.445679,0.169158,0.164179,0.24619,0.331832
146,1103.455688,0.168697,0.166976,0.246219,0.330394
147,1108.465698,0.169769,0.166312,0.24437,0.331918
148,1113.465698,0.169209,0.167051,0.241714,0.328574
149,1118.475708,0.170658,0.165712,0.239764,0.324033
150,1123.485596,0.170578,0.168211,0.239118,0.32032
151,1128.495605,0.168911,0.16395,0.234964,0.322842
152,1133.505615,0.17106,0.165432,0.241986,0.32576
153,1138.515625,0.161981,0.158222,0.236639,0.331282
154,1143.525635,0.160639,0.159054,0.240491,0.33085
155,1148.535645,0.155742,0.157881,0.242491,0.332242
156,1153.535645,0.153898,0.151215,0.241389,0.334856
157,1158.545654,0.155762,0.150602,0.242954,0.333272
158,1163.555664,0.151509,0.148267,0.243028,0.338044
159,1168.565674,0.151916,0.150095,0.242192,0.338719
160,1173.575684,0.152411,0.149622,0.240555,0.338962
161,1178.585693,0.153374,0.150264,0.240119,0.337774
162,1183.595703,0.153264,0.149304,0.241537,0.340161
163,1188.595703,0.153145,0.149723,0.241296,0.340608
164,1193.605591,0.1529,0.150669,0.242319,0.34246
165,1198.615601,0.153846,0.151786,0.242136,0.344315
166,1203.62561,0.155232,0.151142,0.245546,0.343812
167,1208.63562,0.156751,0.151672,0.246637,0.345255
168,1213.64563,0.156828,0.153465,0.246088,0.347499
169,1218.65564,0.158238,0.154655,0.249102,0.350229
170,1223.665649,0.160163,0.157591,0.249389,0.352205
171,1228.665649,0.160803,0.157785,0.25168,0.353165
172,1233.675659,0.163184,0.160222,0.252367,0.353355
173,1238.685669,0.163825,0.160679,0.256222,0.35459
174,1243.695679,0.165364,0.163046,0.257093,0.358306
175,1248.705688,0.166994,0.164097,0.257104,0.358338
176,1253.715698,0.167833,0.166199,0.260104,0.363081
177,1258.725708,0.169472,0.166699,0.260837,0.362737
178,1263.725708,0.170676,0.165543,0.26248,0.362048
179,1268.735596,0.171635,0.168655,0.262918,0.364313
180,1273.745605,0.171493,0.170089,0.263903,0.37003
181,1278.755615,0.171311,0.168342,0.266338,0.367949
182,1283.765625,0.172969,0.170108,0.265471,0.368056
183,1288.775635,0.173861,0.169678,0.267864,0.370979
184,1293.785645,0.174326,0.170589,0.272645,0.374061
185,1298.795654,0.173144,0.171211,0.269224,0.374722
186,1303.795654,0.174269,0.171332,0.274494,0.375346
187,1308.805664,0.170566,0.166273,0.270695,0.374472
188,1313.815674,0.169414,0.163797,0.268859,0.374639
189,1318.825684,0.164642,0.16265,0.268451,0.377405
190,1323.835693,0.164648,0.160866,0.266679,0.380987
191,1328.845703,0.159857,0.155297,0.261688,0.380023
192,1333.855591,0.157275,0.152762,0.260424,0.377362
193,1338.855591,0.161277,0.158497,0.269103,0.387951
