Band,Wavelength,High,Mid 1,Mid 2,Low
268,1714.505615,0.206375,0.217056,0.308239,0.4215
269,1719.515625,0.204673,0.214968,0.307376,0.421525
270,1724.525635,0.204042,0.213762,0.304176,0.419381
271,1729.535645,0.201432,0.211359,0.305876,0.420282
272,1734.545654,0.20386,0.214565,0.304447,0.419535
273,1739.555664,0.204944,0.215352,0.304511,0.417785
274,1744.565674,0.204365,0.214581,0.303389,0.4151
275,1749.575684,0.203766,0.213234,0.303954,0.414203
276,1754.575684,0.20372,0.214334,0.304205,0.416183
277,1759.585693,0.203112,0.212514,0.305943,0.415502
278,1764.595703,0.201743,0.212535,0.305086,0.415594
279,1769.605591,0.200958,0.211947,0.302574,0.414953
280,1774.615601,0.201987,0.213306,0.304544,0.416387
281,1779.62561,0.200517,0.211956,0.302873,0.412999
282,1784.63562,0.201863,0.213035,0.303839,0.412279
283,1789.63562,0.199934,0.212394,0.30534,0.413291
284,1794.64563,0.197776,0.211478,0.296032,0.409892
285,1799.65564,0.19737,0.208952,0.292127,0.390507
286,1804.665649,0.20581,0.215123,0.307713,0.409773
287,1809.675659,0.208501,0.226409,0.310369,0.410432
288,1814.685669,0.249933,0.261541,0.312976,0.397441
289,1819.695679,0.286741,0.297292,0.237227,0.333478
290,1824.705688,0.264435,0.309975,0.245399,0.250281
291,1829.705688,0.332836,0.336589,0.335988,0.355976
292,1834.715698,0.350783,0.335407,0.345631,0.364002
293,1839.725708,0.339948,0.33895,0.337786,0.337778
294,1844.735596,0.340891,0.341057,0.333331,0.332772
295,1849.745605,0.341556,0.332341,0.331933,0.326286
296,1854.755615,0.330493,0.329539,0.349216,0.335057
297,1859.765625,0.331042,0.34771,0.297021,0.310163
298,1864.775635,0.334147,0.3244,0.290321,0.316047
299,1869.775635,0.261122,0.2522,0.226135,0.251482
300,1874.785645,0.232168,0.277293,0.189406,0.252074
301,1879.795654,0.251325,0.281764,0.263339,0.287326
302,1884.805664,0.319787,0.271147,0.253869,0.316119
303,1889.815674,0.295799,0.296722,0.319168,0.350892
304,1894.825684,0.309109,0.323609,0.304041,0.329311
305,1899.835693,0.311918,0.332919,0.305941,0.300427
306,1904.835693,0.284701,0.301896,0.284498,0.308594
307,1909.845703,0.309412,0.332871,0.288241,0.273141
308,1914.855591,0.271143,0.293735,0.280037,0.278541
309,1919.865601,0.261535,0.287993,0.292908,0.241393
310,1924.87561,0.211942,0.259291,0.220381,0.270716
311,1929.88562,0.202309,0.306516,0.229756,0.233809
312,1934.89563,0.197396,0.186362,0.222739,0.335967
313,1939.90564,0.187674,0.196403,0.220853,0.333982
314,1944.90564,0.165375,0.177001,0.235731,0.30489
315,1949.915649,0.171388,0.184038,0.236783,0.326365
316,1954.925659,0.158017,0.161429,0.22402,0.299379
317,1959.935669,0.15157,0.155068,0.222005,0.306225
318,1964.945679,0.151941,0.158782,0.227669,0.316593
319,1969.955688,0.152137,0.158684,0.23189,0.323044
320,1974.965698,0.138373,0.14477,0.211048,0.29685
321,1979.965698,0.14452,0.151099,0.221138,0.31042
322,1984.975708,0.133306,0.140473,0.202642,0.286651
323,1989.985596,0.135766,0.143232,0.207859,0.29338
324,1994.995605,0.142711,0.149256,0.218577,0.309698
325,2000.005615,0.15601,0.166095,0.235398,0.317852
326,2005.015625,0.170241,0.18201,0.241734,0.328984
327,2010.025635,0.164906,0.174278,0.253254,0.353212
328,2015.035645,0.165399,0.178904,0.253059,0.352156
329,2020.035645,0.154523,0.162951,0.240479,0.345961
330,2025.045654,0.155793,0.163471,0.24712,0.355042
331,2030.055664,0.156673,0.165108,0.252611,0.362285
332,2035.065674,0.158393,0.167292,0.257675,0.375151
333,2040.075684,0.158647,0.167389,0.259296,0.377134
334,2045.085693,0.157716,0.166543,0.261221,0.379651
335,2050.095703,0.160266,0.16936,0.264482,0.381388
336,2055.095703,0.160269,0.170019,0.2628,0.380015
337,2060.105713,0.159249,0.168676,0.262918,0.382072
338,2065.115723,0.159448,0.167732,0.262576,0.385044
339,2070.125732,0.155718,0.165415,0.260339,0.382374
340,2075.135742,0.154396,0.163632,0.26327,0.379517
341,2080.145752,0.156627,0.164374,0.261632,0.385275
342,2085.155762,0.156013,0.165688,0.266126,0.388014
343,2090.165771,0.155607,0.16565,0.265304,0.387907
344,2095.165771,0.157345,0.165812,0.265321,0.389162
345,2100.175537,0.156604,0.166131,0.262992,0.387115
346,2105.185547,0.157039,0.16623,0.263561,0.390121
347,2110.195557,0.156428,0.165443,0.262466,0.389544
348,2115.205566,0.156971,0.166966,0.266057,0.387677
349,2120.215576,0.15652,0.166463,0.264796,0.385166
350,2125.225586,0.157946,0.167216,0.269231,0.382706
351,2130.225586,0.157884,0.16717,0.263514,0.384356
352,2135.235596,0.158613,0.166865,0.262743,0.383432
353,2140.245605,0.158208,0.166581,0.260858,0.382196
354,2145.255615,0.160014,0.167917,0.261557,0.380996
355,2150.265625,0.159519,0.167253,0.26463,0.379908
356,2155.275635,0.160526,0.168135,0.261704,0.377226
357,2160.285645,0.162496,0.170572,0.262445,0.374926
358,2165.295654,0.16126,0.169922,0.262223,0.372155
359,2170.295654,0.159795,0.168421,0.25946,0.369213
360,2175.305664,0.16168,0.170993,0.258448,0.369213
361,2180.315674,0.163026,0.171946,0.258684,0.367548
362,2185.325684,0.163631,0.171108,0.25578,0.362661
363,2190.335693,0.163957,0.171832,0.255476,0.361008
364,2195.345703,0.164851,0.17257,0.254224,0.357107
365,2200.355713,0.168672,0.174975,0.255586,0.354976
366,2205.355713,0.165574,0.17328,0.252411,0.349829
367,2210.365723,0.166624,0.174432,0.251181,0.348215
368,2215.375732,0.166313,0.173475,0.251713,0.349518
369,2220.385742,0.166321,0.17415,0.25318,0.349177
370,2225.395752,0.163791,0.171517,0.250808,0.352118
