Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X178_Y226,,,0,9,,,7,    0.006133
2,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X176_Y92,,,0,10,,,18,    0.015771
3,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X186_Y103,,,0,11,,,1,    0.000876
4,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X197_Y135,,,0,12,,,56,    0.049065
5,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X225_Y41,,,0,13,,,96,    0.084112
6,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X198_Y51,,,0,14,,,9,    0.007885
7,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X185_Y145,,,0,15,,,0,0
8,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X168_Y121,,,0,16,,,127,    0.111273
9,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X218_Y247,,,0,17,,,1171,    1.025987
10,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y48,,,0,18,,,13,    0.011390
11,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X188_Y51,,,0,19,,,1,    0.000876
12,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X83_Y198,,,0,20,,,27,    0.023656
13,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X176_Y111,,,0,21,,,186,    0.162966
14,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X178_Y226,,,1,9,,,12,    0.010514
15,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X176_Y92,,,1,10,,,17,    0.014895
16,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X186_Y103,,,1,11,,,21,    0.018399
17,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X197_Y135,,,1,12,,,36,    0.031542
18,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X225_Y41,,,1,13,,,8,    0.007009
19,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X198_Y51,,,1,14,,,27,    0.023656
20,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X185_Y145,,,1,15,,,10,    0.008762
21,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X168_Y121,,,1,16,,,100,    0.087616
22,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X218_Y247,,,1,17,,,155,    0.135805
23,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X196_Y48,,,1,18,,,41,    0.035923
24,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X188_Y51,,,1,19,,,10,    0.008762
25,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X83_Y198,,,1,20,,,17,    0.014895
26,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X176_Y111,,,1,21,,,108,    0.094626
27,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X178_Y226,,,2,9,,,5,    0.004381
28,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,10,,,14,    0.012266
29,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,11,,,11,    0.009638
30,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X197_Y135,,,2,12,,,12,    0.010514
31,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,13,,,7,    0.006133
32,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X198_Y51,,,2,14,,,21,    0.018399
33,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,15,,,34,    0.029790
34,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X168_Y121,,,2,16,,,182,    0.159462
35,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,17,,,76,    0.066588
36,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,18,,,256,    0.224298
37,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,19,,,18,    0.015771
38,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,20,,,29,    0.025409
39,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X176_Y111,,,2,21,,,30,    0.026285
40,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X178_Y226,,,3,9,,,40,    0.035047
41,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X176_Y92,,,3,10,,,76,    0.066588
42,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X186_Y103,,,3,11,,,33,    0.028913
43,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X197_Y135,,,3,12,,,58,    0.050817
44,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X225_Y41,,,3,13,,,25,    0.021904
45,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X198_Y51,,,3,14,,,0,0
46,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X185_Y145,,,3,15,,,0,0
47,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X168_Y121,,,3,16,,,465,    0.407416
