Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X176_Y92,,,0,13,,,0,0
2,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X186_Y103,,,0,14,,,0,0
3,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X225_Y41,,,0,15,,,0,0
4,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X185_Y145,,,0,16,,,0,0
5,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X168_Y121,,,0,17,,,109,    0.095502
6,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X175_Y109,,,0,18,,,8,    0.007009
7,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X218_Y247,,,0,19,,,363,    0.318047
8,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y48,,,0,20,,,0,0
9,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X188_Y51,,,0,21,,,19,    0.016647
10,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X191_Y49,,,0,22,,,33,    0.028913
11,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X83_Y198,,,0,23,,,0,0
12,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X176_Y92,,,1,13,,,0,0
13,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X186_Y103,,,1,14,,,20,    0.017523
14,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X225_Y41,,,1,15,,,0,0
15,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X185_Y145,,,1,16,,,52,    0.045560
16,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X168_Y121,,,1,17,,,3,    0.002628
17,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X175_Y109,,,1,18,,,4,    0.003505
18,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X218_Y247,,,1,19,,,6,    0.005257
19,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X196_Y48,,,1,20,,,1,    0.000876
20,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X188_Y51,,,1,21,,,3,    0.002628
21,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X191_Y49,,,1,22,,,10,    0.008762
22,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X83_Y198,,,1,23,,,4,    0.003505
23,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,13,,,0,0
24,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,14,,,5,    0.004381
25,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,15,,,0,0
26,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,16,,,6,    0.005257
27,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X168_Y121,,,2,17,,,0,0
28,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X175_Y109,,,2,18,,,1,    0.000876
29,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,19,,,0,0
30,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,20,,,2,    0.001752
31,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,21,,,0,0
32,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X191_Y49,,,2,22,,,8,    0.007009
33,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,23,,,5,    0.004381
34,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X176_Y92,,,3,13,,,0,0
35,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X186_Y103,,,3,14,,,16,    0.014019
36,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X225_Y41,,,3,15,,,20,    0.017523
37,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X185_Y145,,,3,16,,,39,    0.034170
38,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X168_Y121,,,3,17,,,349,    0.305781
39,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X175_Y109,,,3,18,,,199,    0.174356
40,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X218_Y247,,,3,19,,,296,    0.259344
41,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X196_Y48,,,3,20,,,67,    0.058703
42,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X188_Y51,,,3,21,,,149,    0.130548
43,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X191_Y49,,,3,22,,,1256,    1.100461
44,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X83_Y198,,,3,23,,,98,    0.085864
45,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,Pickleweed_X176_Y92,,,4,13,,,6,    0.005257
46,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X186_Y103,,,4,14,,,50,    0.043808
47,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X225_Y41,,,4,15,,,3,    0.002628
48,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,Pickleweed_X185_Y145,,,4,16,,,89,    0.077979
49,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,Uplands_X168_Y121,,,4,17,,,86,    0.075350
50,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X175_Y109,,,4,18,,,21,    0.018399
51,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X218_Y247,,,4,19,,,43,    0.037675
52,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X196_Y48,,,4,20,,,8,    0.007009
53,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,Uplands_X188_Y51,,,4,21,,,162,    0.141938
54,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X191_Y49,,,4,22,,,81,    0.070969
55,2,BARE SOIL-GREEN VEG,mudflat_X216_Y150,greenveg_X83_Y198,,,4,23,,,5,    0.004381
56,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X176_Y92,,,5,13,,,0,0
57,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X186_Y103,,,5,14,,,18,    0.015771
58,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X225_Y41,,,5,15,,,0,0
59,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X185_Y145,,,5,16,,,9,    0.007885
60,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X168_Y121,,,5,17,,,1,    0.000876
61,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X175_Y109,,,5,18,,,15,    0.013142
62,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X218_Y247,,,5,19,,,0,0
63,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y48,,,5,20,,,29,    0.025409
64,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X188_Y51,,,5,21,,,12,    0.010514
65,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X191_Y49,,,5,22,,,33,    0.028913
66,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X83_Y198,,,5,23,,,1,    0.000876
67,2,BARE SOIL-GREEN VEG,mudflat_X201_Y213,Pickleweed_X176_Y92,,,6,13,,,1,    0.000876
