Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X186_Y103,,,1,9,,,132,    0.115654
2,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X196_Y48,,,1,10,,,18222,   15.965444
3,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X218_Y247,,,1,11,,,4207,    3.686018
4,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X225_Y41,,,1,12,,,863,    0.756129
5,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X83_Y198,,,1,13,,,10816,    9.476581
6,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X176_Y92,,,1,14,,,1561,    1.367691
7,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X185_Y145,,,1,15,,,2417,    2.117686
8,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X198_Y51,,,1,16,,,2606,    2.283281
9,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X168_Y121,,,1,17,,,82,    0.071845
10,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X188_Y51,,,1,18,,,6,    0.005257
11,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,9,,,0,0
12,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,10,,,97,    0.084988
13,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,11,,,2,    0.001752
14,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,12,,,4,    0.003505
15,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,13,,,20,    0.017523
16,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,14,,,19,    0.016647
17,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,15,,,0,0
18,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X198_Y51,,,2,16,,,4,    0.003505
