Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
45,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,26,,,2,    0.001752
46,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X186_Y103,,,3,12,,,13,    0.011390
47,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X196_Y133,,,3,13,,,4,    0.003505
48,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X196_Y48,,,3,14,,,1030,    0.902448
49,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X198_Y130,,,3,15,,,579,    0.507298
50,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X214_Y133,,,3,16,,,48,    0.042056
51,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X214_Y163,,,3,17,,,14,    0.012266
52,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X214_Y199,,,3,18,,,150,    0.131424
53,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X218_Y247,,,3,19,,,926,    0.811327
54,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X225_Y41,,,3,20,,,571,    0.500289
55,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X83_Y198,,,3,21,,,672,    0.588782
56,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X176_Y92,,,3,22,,,442,    0.387264
57,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X185_Y145,,,3,23,,,42,    0.036799
58,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X198_Y51,,,3,24,,,240,    0.210279
59,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X168_Y121,,,3,25,,,274,    0.240069
60,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X188_Y51,,,3,26,,,46,    0.040304
61,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X186_Y103,,,4,12,,,46,    0.040304
62,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y133,,,4,13,,,0,0
63,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y48,,,4,14,,,176,    0.154205
64,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X198_Y130,,,4,15,,,37,    0.032418
65,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X214_Y133,,,4,16,,,0,0
66,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X214_Y163,,,4,17,,,5,    0.004381
67,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X214_Y199,,,4,18,,,6,    0.005257
68,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X218_Y247,,,4,19,,,210,    0.183994
69,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X225_Y41,,,4,20,,,35,    0.030666
70,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X83_Y198,,,4,21,,,160,    0.140186
71,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X176_Y92,,,4,22,,,3,    0.002628
72,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X185_Y145,,,4,23,,,7,    0.006133
73,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X198_Y51,,,4,24,,,14,    0.012266
74,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X168_Y121,,,4,25,,,102,    0.089369
75,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X188_Y51,,,4,26,,,7,    0.006133
76,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X186_Y103,,,5,12,,,0,0
77,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y133,,,5,13,,,6,    0.005257
78,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y48,,,5,14,,,7,    0.006133
79,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X198_Y130,,,5,15,,,55,    0.048189
80,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X214_Y133,,,5,16,,,17,    0.014895
81,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X214_Y163,,,5,17,,,15,    0.013142
82,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X214_Y199,,,5,18,,,10,    0.008762
83,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X218_Y247,,,5,19,,,863,    0.756129
84,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X225_Y41,,,5,20,,,27,    0.023656
85,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X83_Y198,,,5,21,,,3,    0.002628
86,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X176_Y92,,,5,22,,,12,    0.010514
87,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X185_Y145,,,5,23,,,3,    0.002628
88,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X198_Y51,,,5,24,,,1,    0.000876
89,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X168_Y121,,,5,25,,,8,    0.007009
90,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X188_Y51,,,5,26,,,0,0
91,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X186_Y103,,,6,12,,,4,    0.003505
92,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X196_Y133,,,6,13,,,4,    0.003505
93,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X196_Y48,,,6,14,,,2,    0.001752
94,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X198_Y130,,,6,15,,,116,    0.101635
95,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X214_Y133,,,6,16,,,2,    0.001752
96,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X214_Y163,,,6,17,,,117,    0.102511
97,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X214_Y199,,,6,18,,,12,    0.010514
98,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X218_Y247,,,6,19,,,733,    0.642228
99,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X225_Y41,,,6,20,,,135,    0.118282
100,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X83_Y198,,,6,21,,,19,    0.016647
101,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X176_Y92,,,6,22,,,142,    0.124415
102,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X185_Y145,,,6,23,,,2,    0.001752
103,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X198_Y51,,,6,24,,,0,0
104,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X168_Y121,,,6,25,,,110,    0.096378
105,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X188_Y51,,,6,26,,,0,0
106,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X186_Y103,,,7,12,,,3,    0.002628
107,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X196_Y133,,,7,13,,,4,    0.003505
