Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X186_Y103,,,0,14,,,82,    0.071845
2,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X196_Y48,,,0,15,,,278,    0.243573
3,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X218_Y247,,,0,16,,,195,    0.170852
4,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X225_Y41,,,0,17,,,9,    0.007885
5,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X83_Y198,,,0,18,,,249,    0.218165
6,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X176_Y92,,,0,19,,,3,    0.002628
7,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X185_Y145,,,0,20,,,247,    0.216412
8,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X198_Y51,,,0,21,,,283,    0.247954
9,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Uplands_X168_Y121,,,0,22,,,699,    0.612438
10,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Uplands_X188_Y51,,,0,23,,,38,    0.033294
11,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X186_Y103,,,1,14,,,76,    0.066588
12,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X196_Y48,,,1,15,,,454,    0.397778
13,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X218_Y247,,,1,16,,,501,    0.438958
14,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X225_Y41,,,1,17,,,0,0
15,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X83_Y198,,,1,18,,,224,    0.196261
16,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X176_Y92,,,1,19,,,5,    0.004381
17,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X185_Y145,,,1,20,,,290,    0.254087
18,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X198_Y51,,,1,21,,,234,    0.205022
19,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X168_Y121,,,1,22,,,806,    0.706187
20,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X188_Y51,,,1,23,,,49,    0.042932
21,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,14,,,74,    0.064836
