Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X176_Y92,,,0,14,,,0,0
2,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X186_Y103,,,0,15,,,0,0
3,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X225_Y41,,,0,17,,,0,0
4,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X198_Y51,,,0,18,,,0,0
5,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X185_Y145,,,0,19,,,0,0
6,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X168_Y121,,,0,20,,,3,    0.002628
7,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X218_Y247,,,0,21,,,645,    0.565125
8,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y48,,,0,22,,,0,0
9,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X188_Y51,,,0,23,,,0,0
10,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X83_Y198,,,0,24,,,6,    0.005257
11,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X176_Y92,,,1,14,,,5,    0.004381
12,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X186_Y103,,,1,15,,,78,    0.068341
13,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X225_Y41,,,1,17,,,3,    0.002628
14,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X198_Y51,,,1,18,,,211,    0.184870
15,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X185_Y145,,,1,19,,,2,    0.001752
16,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X168_Y121,,,1,20,,,5,    0.004381
17,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X218_Y247,,,1,21,,,54,    0.047313
18,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X196_Y48,,,1,22,,,46,    0.040304
19,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X188_Y51,,,1,23,,,0,0
20,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X83_Y198,,,1,24,,,111,    0.097254
21,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,14,,,7,    0.006133
22,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,15,,,6,    0.005257
23,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,17,,,11,    0.009638
24,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X198_Y51,,,2,18,,,0,0
25,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,19,,,0,0
26,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X168_Y121,,,2,20,,,22,    0.019276
27,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,21,,,48,    0.042056
28,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,22,,,160,    0.140186
29,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,23,,,0,0
30,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,24,,,53,    0.046437
