Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X186_Y103,,,0,9,,,650,    0.569506
2,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X196_Y48,,,0,10,,,0,0
3,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X218_Y247,,,0,11,,,7,    0.006133
4,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X225_Y41,,,0,12,,,0,0
5,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X83_Y198,,,0,13,,,21,    0.018399
6,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X176_Y92,,,0,14,,,0,0
7,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X185_Y145,,,0,15,,,3278,    2.872063
8,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X198_Y51,,,0,16,,,411,    0.360103
9,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Uplands_X168_Y121,,,0,17,,,2559,    2.242101
10,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Uplands_X188_Y51,,,0,18,,,1636,    1.433403
11,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X186_Y103,,,1,9,,,102,    0.089369
12,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X196_Y48,,,1,10,,,2,    0.001752
13,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X218_Y247,,,1,11,,,106,    0.092873
14,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X225_Y41,,,1,12,,,2,    0.001752
15,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X83_Y198,,,1,13,,,24,    0.021028
16,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X176_Y92,,,1,14,,,0,0
17,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X185_Y145,,,1,15,,,761,    0.666760
18,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X198_Y51,,,1,16,,,1919,    1.681357
19,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X168_Y121,,,1,17,,,1926,    1.687490
20,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X188_Y51,,,1,18,,,444,    0.389016
21,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,9,,,54,    0.047313
22,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,10,,,18,    0.015771
23,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,11,,,106,    0.092873
24,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,12,,,6,    0.005257
25,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,13,,,14,    0.012266
26,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,14,,,5,    0.004381
27,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,15,,,131,    0.114777
28,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X198_Y51,,,2,16,,,47,    0.041180
29,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X168_Y121,,,2,17,,,237,    0.207651
30,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,18,,,92,    0.080607
31,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X186_Y103,,,3,9,,,103,    0.090245
32,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X196_Y48,,,3,10,,,3101,    2.716982
33,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X218_Y247,,,3,11,,,906,    0.793804
34,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X225_Y41,,,3,12,,,752,    0.658875
35,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X83_Y198,,,3,13,,,461,    0.403911
36,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X176_Y92,,,3,14,,,879,    0.770147
37,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X185_Y145,,,3,15,,,3278,    2.872063
38,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X198_Y51,,,3,16,,,1363,    1.194210
39,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X168_Y121,,,3,17,,,5501,    4.819773
40,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X188_Y51,,,3,18,,,2133,    1.868856
41,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X186_Y103,,,4,9,,,58,    0.050817
42,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y48,,,4,10,,,226,    0.198013
43,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X218_Y247,,,4,11,,,77,    0.067465
44,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X225_Y41,,,4,12,,,10,    0.008762
45,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X83_Y198,,,4,13,,,53,    0.046437
46,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X176_Y92,,,4,14,,,7,    0.006133
47,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X185_Y145,,,4,15,,,242,    0.212031
48,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X198_Y51,,,4,16,,,44,    0.038551
49,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X168_Y121,,,4,17,,,690,    0.604553
50,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X188_Y51,,,4,18,,,777,    0.680779
51,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X186_Y103,,,5,9,,,3,    0.002628
52,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y48,,,5,10,,,1,    0.000876
53,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X218_Y247,,,5,11,,,767,    0.672017
54,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X225_Y41,,,5,12,,,28,    0.024533
55,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X83_Y198,,,5,13,,,2,    0.001752
56,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X176_Y92,,,5,14,,,9,    0.007885
57,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X185_Y145,,,5,15,,,14,    0.012266
58,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X198_Y51,,,5,16,,,33,    0.028913
59,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X168_Y121,,,5,17,,,41,    0.035923
60,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X188_Y51,,,5,18,,,19,    0.016647
61,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X186_Y103,,,6,9,,,21,    0.018399
62,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X196_Y48,,,6,10,,,0,0
63,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X218_Y247,,,6,11,,,1548,    1.356300
64,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X225_Y41,,,6,12,,,233,    0.204146
65,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X83_Y198,,,6,13,,,1,    0.000876
66,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X176_Y92,,,6,14,,,214,    0.187499
67,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X185_Y145,,,6,15,,,17,    0.014895
68,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X198_Y51,,,6,16,,,17,    0.014895
69,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X168_Y121,,,6,17,,,659,    0.577392
70,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X188_Y51,,,6,18,,,45,    0.039427
71,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X186_Y103,,,7,9,,,6,    0.005257
72,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X196_Y48,,,7,10,,,73,    0.063960
73,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X218_Y247,,,7,11,,,454,    0.397778
74,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X225_Y41,,,7,12,,,66,    0.057827
75,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X83_Y198,,,7,13,,,114,    0.099883
76,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X176_Y92,,,7,14,,,59,    0.051694
77,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X185_Y145,,,7,15,,,80,    0.070093
78,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X198_Y51,,,7,16,,,152,    0.133177
79,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Uplands_X168_Y121,,,7,17,,,452,    0.396026
80,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Uplands_X188_Y51,,,7,18,,,385,    0.337323
81,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X186_Y103,,,8,9,,,18,    0.015771
82,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X196_Y48,,,8,10,,,12,    0.010514
83,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X218_Y247,,,8,11,,,165,    0.144567
84,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X225_Y41,,,8,12,,,4,    0.003505
85,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X83_Y198,,,8,13,,,6,    0.005257
86,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X176_Y92,,,8,14,,,13,    0.011390
87,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X185_Y145,,,8,15,,,23,    0.020152
88,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X198_Y51,,,8,16,,,98,    0.085864
89,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X168_Y121,,,8,17,,,85,    0.074474
90,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X188_Y51,,,8,18,,,25,    0.021904
