Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X186_Y103,,,1,9,,,154,    0.134929
2,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X196_Y48,,,1,10,,,1176,    1.030368
3,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X218_Y247,,,1,11,,,246,    0.215536
4,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X225_Y41,,,1,12,,,2,    0.001752
5,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X83_Y198,,,1,13,,,65,    0.056951
6,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X176_Y92,,,1,14,,,1,    0.000876
7,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X185_Y145,,,1,15,,,6423,    5.627595
8,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X198_Y51,,,1,16,,,2015,    1.765469
9,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X168_Y121,,,1,17,,,4620,    4.047873
10,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X188_Y51,,,1,18,,,4291,    3.759616
11,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,9,,,22,    0.019276
12,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,10,,,13,    0.011390
13,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,11,,,0,0
14,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,12,,,1,    0.000876
15,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,13,,,4,    0.003505
16,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,14,,,8,    0.007009
17,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,15,,,31,    0.027161
18,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X198_Y51,,,2,16,,,11,    0.009638
19,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X168_Y121,,,2,17,,,8,    0.007009
20,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,18,,,36,    0.031542
21,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X186_Y103,,,3,9,,,36,    0.031542
22,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X196_Y48,,,3,10,,,4885,    4.280057
23,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X218_Y247,,,3,11,,,259,    0.226926
24,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X225_Y41,,,3,12,,,192,    0.168223
25,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X83_Y198,,,3,13,,,172,    0.150700
26,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X176_Y92,,,3,14,,,176,    0.154205
27,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X185_Y145,,,3,15,,,960,    0.841117
28,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X198_Y51,,,3,16,,,703,    0.615943
29,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X168_Y121,,,3,17,,,255,    0.223422
30,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X188_Y51,,,3,18,,,813,    0.712321
31,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X186_Y103,,,4,9,,,41,    0.035923
32,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y48,,,4,10,,,591,    0.517812
33,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X218_Y247,,,4,11,,,4,    0.003505
34,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X225_Y41,,,4,12,,,10,    0.008762
35,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X83_Y198,,,4,13,,,11,    0.009638
36,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X176_Y92,,,4,14,,,6,    0.005257
37,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X185_Y145,,,4,15,,,87,    0.076226
38,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Pickleweed_X198_Y51,,,4,16,,,14,    0.012266
39,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X168_Y121,,,4,17,,,31,    0.027161
40,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,Uplands_X188_Y51,,,4,18,,,161,    0.141062
41,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X186_Y103,,,5,9,,,6,    0.005257
42,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X196_Y48,,,5,10,,,2,    0.001752
43,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X218_Y247,,,5,11,,,917,    0.803442
44,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X225_Y41,,,5,12,,,45,    0.039427
45,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,greenveg_X83_Y198,,,5,13,,,7,    0.006133
46,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X176_Y92,,,5,14,,,12,    0.010514
47,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X185_Y145,,,5,15,,,40,    0.035047
48,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Pickleweed_X198_Y51,,,5,16,,,46,    0.040304
49,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X168_Y121,,,5,17,,,138,    0.120911
50,2,BARE SOIL-GREEN VEG,BareSoil_X219_Y150,Uplands_X188_Y51,,,5,18,,,102,    0.089369
51,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X186_Y103,,,6,9,,,186,    0.162966
52,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X196_Y48,,,6,10,,,50,    0.043808
53,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X218_Y247,,,6,11,,,1241,    1.087318
54,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X225_Y41,,,6,12,,,269,    0.235688
55,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,greenveg_X83_Y198,,,6,13,,,45,    0.039427
56,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X176_Y92,,,6,14,,,301,    0.263725
57,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X185_Y145,,,6,15,,,175,    0.153329
58,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Pickleweed_X198_Y51,,,6,16,,,69,    0.060455
59,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X168_Y121,,,6,17,,,668,    0.585277
60,2,BARE SOIL-GREEN VEG,BareSoil_X220_Y142,Uplands_X188_Y51,,,6,18,,,197,    0.172604
61,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X186_Y103,,,7,9,,,0,0
62,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X196_Y48,,,7,10,,,729,    0.638723
63,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X218_Y247,,,7,11,,,445,    0.389893
64,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X225_Y41,,,7,12,,,28,    0.024533
65,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X83_Y198,,,7,13,,,115,    0.100759
66,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X176_Y92,,,7,14,,,32,    0.028037
