Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
1,1,ALGAE/WATER,Algae/Water_X171_Y224,,,,,,0,,,,,,190,    0.166471
2,1,ALGAE/WATER,Algae/Water_X172_Y224,,,,,,1,,,,,,31,    0.027161
3,1,ALGAE/WATER,Algae/Water_X176_Y217,,,,,,2,,,,,,453,    0.396902
4,1,ALGAE/WATER,Algae/Water_X177_Y217,,,,,,3,,,,,,228,    0.199765
5,1,BARE SOIL,,BareSoil_X178_Y152,,,,,,4,,,,,17424,   15.266267
6,1,BARE SOIL,,BareSoil_X178_Y153,,,,,,5,,,,,12,    0.010514
7,1,BARE SOIL,,BareSoil_X179_Y153,,,,,,6,,,,,3929,    3.442445
8,1,BARE SOIL,,BareSoil_X203_Y140,,,,,,7,,,,,5029,    4.406224
9,1,PICKLEWEED,,,220302b.20m.asd                 No-OAR,,,,,,21,,,,12,    0.010514
10,1,PICKLEWEED,,,220302b.24m.asd                 No-OAR,,,,,,22,,,,11,    0.009638
11,1,PICKLEWEED,,,220302b.26m.asd                 No-OAR,,,,,,23,,,,0,0
12,1,PICKLEWEED,,,Pickleweed_X167_Y144,,,,,,24,,,,241,    0.211155
13,1,PICKLEWEED,,,Pickleweed_X168_Y144,,,,,,25,,,,1125,    0.985684
14,1,PICKLEWEED,,,Pickleweed_X169_Y144,,,,,,26,,,,425,    0.372369
15,1,PICKLEWEED,,,Pickleweed_X177_Y93,,,,,,27,,,,2739,    2.399811
16,1,PICKLEWEED,,,Pickleweed_X195_Y52,,,,,,28,,,,1173,    1.027739
17,1,PICKLEWEED,,,Pickleweed_X198_Y50,,,,,,29,,,,4231,    3.707046
18,1,PICKLEWEED,,,Pickleweed_X200_Y50,,,,,,30,,,,317,    0.277744
19,1,PICKLEWEED,,,Pickleweed_X201_Y50,,,,,,31,,,,1415,    1.239771
20,1,PICKLEWEED,,,Pickleweed_X217_Y162,,,,,,32,,,,865,    0.757881
21,1,PICKLEWEED,,,Pickleweed_X217_Y163,,,,,,33,,,,442,    0.387264
22,1,SHALLOW WATER,,,,ShallowWater_X137_Y49,,,,,,34,,,7101,    6.221634
23,1,SHALLOW WATER,,,,ShallowWater_X198_Y199,,,,,,35,,,9453,    8.282371
24,1,SHALLOW WATER,,,,ShallowWater_X200_Y59,,,,,,36,,,867,    0.759633
25,1,SHALLOW WATER,,,,ShallowWater_X200_Y60,,,,,,37,,,388,    0.339951
26,1,SHALLOW WATER,,,,ShallowWater_X202_Y211,,,,,,38,,,763,    0.668512
27,1,SHALLOW WATER,,,,ShallowWater_X203_Y211,,,,,,39,,,952,    0.834107
28,1,UPLANDS,,,,,Uplands_X143_Y104,,,,,,43,,18111,   15.868190
29,1,UPLANDS,,,,,Uplands_X232_Y23,,,,,,44,,14771,   12.941805
30,1,UPLANDS,,,,,Uplands_X233_Y22,,,,,,45,,18906,   16.564741
31,1,WATER,,,,,,Water_X174_Y193,,,,,,46,27,    0.023656
32,1,WATER,,,,,,Water_X198_Y103,,,,,,47,949,    0.831479
33,1,WATER,,,,,,Water_X199_Y103,,,,,,48,227,    0.198889
34,1,WATER,,,,,,Water_X210_Y122,,,,,,49,72,    0.063084
35,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X178_Y152,,,,,0,4,,,,,0,0
36,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X178_Y153,,,,,0,5,,,,,0,0
37,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X179_Y153,,,,,0,6,,,,,0,0
38,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X203_Y140,,,,,0,7,,,,,0,0
39,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X178_Y152,,,,,1,4,,,,,0,0
40,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X178_Y153,,,,,1,5,,,,,0,0
41,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X179_Y153,,,,,1,6,,,,,0,0
42,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X203_Y140,,,,,1,7,,,,,0,0
43,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X178_Y152,,,,,2,4,,,,,0,0
44,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X178_Y153,,,,,2,5,,,,,0,0
45,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X179_Y153,,,,,2,6,,,,,0,0
46,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X203_Y140,,,,,2,7,,,,,0,0
47,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X178_Y152,,,,,3,4,,,,,0,0
48,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X178_Y153,,,,,3,5,,,,,0,0
49,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X179_Y153,,,,,3,6,,,,,0,0
50,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X203_Y140,,,,,3,7,,,,,0,0
51,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.20m.asd                 No-OAR,,,,0,,21,,,,0,0
52,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.24m.asd                 No-OAR,,,,0,,22,,,,0,0
53,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.26m.asd                 No-OAR,,,,0,,23,,,,0,0
54,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X167_Y144,,,,0,,24,,,,0,0
55,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X168_Y144,,,,0,,25,,,,0,0
56,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X169_Y144,,,,0,,26,,,,0,0
57,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X177_Y93,,,,0,,27,,,,0,0
58,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X195_Y52,,,,0,,28,,,,0,0
59,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X198_Y50,,,,0,,29,,,,0,0
60,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X200_Y50,,,,0,,30,,,,0,0
61,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X201_Y50,,,,0,,31,,,,0,0
62,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X217_Y162,,,,0,,32,,,,0,0
63,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X217_Y163,,,,0,,33,,,,0,0
64,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,220302b.20m.asd                 No-OAR,,,,1,,21,,,,0,0
65,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,220302b.24m.asd                 No-OAR,,,,1,,22,,,,0,0
66,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,220302b.26m.asd                 No-OAR,,,,1,,23,,,,0,0
67,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X167_Y144,,,,1,,24,,,,0,0
68,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X168_Y144,,,,1,,25,,,,0,0
69,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X169_Y144,,,,1,,26,,,,0,0
70,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X177_Y93,,,,1,,27,,,,0,0
71,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X195_Y52,,,,1,,28,,,,0,0
72,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X198_Y50,,,,1,,29,,,,0,0
73,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X200_Y50,,,,1,,30,,,,0,0
74,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X201_Y50,,,,1,,31,,,,0,0
75,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X217_Y162,,,,1,,32,,,,0,0
76,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X217_Y163,,,,1,,33,,,,0,0
77,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,220302b.20m.asd                 No-OAR,,,,2,,21,,,,0,0
78,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,220302b.24m.asd                 No-OAR,,,,2,,22,,,,0,0
79,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,220302b.26m.asd                 No-OAR,,,,2,,23,,,,0,0
80,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X167_Y144,,,,2,,24,,,,0,0
81,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X168_Y144,,,,2,,25,,,,0,0
82,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X169_Y144,,,,2,,26,,,,0,0
83,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X177_Y93,,,,2,,27,,,,0,0
84,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X195_Y52,,,,2,,28,,,,0,0
85,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X198_Y50,,,,2,,29,,,,0,0
86,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X200_Y50,,,,2,,30,,,,0,0
87,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X201_Y50,,,,2,,31,,,,0,0
88,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X217_Y162,,,,2,,32,,,,0,0
89,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X176_Y217,,Pickleweed_X217_Y163,,,,2,,33,,,,0,0
90,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,220302b.20m.asd                 No-OAR,,,,3,,21,,,,0,0
91,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,220302b.24m.asd                 No-OAR,,,,3,,22,,,,0,0
92,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,220302b.26m.asd                 No-OAR,,,,3,,23,,,,0,0
93,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X167_Y144,,,,3,,24,,,,0,0
94,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X168_Y144,,,,3,,25,,,,0,0
95,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X169_Y144,,,,3,,26,,,,0,0
96,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X177_Y93,,,,3,,27,,,,0,0
97,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X195_Y52,,,,3,,28,,,,0,0
98,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X198_Y50,,,,3,,29,,,,0,0
99,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X200_Y50,,,,3,,30,,,,0,0
100,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X201_Y50,,,,3,,31,,,,0,0
101,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X217_Y162,,,,3,,32,,,,0,0
102,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X217_Y163,,,,3,,33,,,,0,0
