Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,greenveg_X186_Y103,,,0,14,,,22,    0.019276
2,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,greenveg_X218_Y247,,,0,15,,,147,    0.128796
3,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,greenveg_X225_Y41,,,0,16,,,12,    0.010514
4,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,greenveg_X83_Y198,,,0,17,,,1762,    1.543799
5,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,pickleweed_X174_Y231,,,0,18,,,18,    0.015771
6,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,pickleweed_X175_Y92,,,0,19,,,164,    0.143691
7,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,Pickleweed_X176_Y92,,,0,20,,,42,    0.036799
8,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,pickleweed_X184_Y134,,,0,21,,,361,    0.316295
9,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,pickleweed_X189_Y52,,,0,22,,,137,    0.120034
10,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,pickleweed_X201_Y133,,,0,23,,,444,    0.389016
11,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,pickleweed_X215_Y133,,,0,24,,,12,    0.010514
12,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,Uplands_X168_Y121,,,0,25,,,1506,    1.319502
13,2,BARE SOIL-GREEN VEG,baresoil_X171_Y167,Uplands_X188_Y51,,,0,26,,,1189,    1.041758
14,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,greenveg_X186_Y103,,,1,14,,,21,    0.018399
15,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,greenveg_X218_Y247,,,1,15,,,349,    0.305781
16,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,greenveg_X225_Y41,,,1,16,,,31,    0.027161
17,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,greenveg_X83_Y198,,,1,17,,,178,    0.155957
18,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,pickleweed_X174_Y231,,,1,18,,,10,    0.008762
19,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,pickleweed_X175_Y92,,,1,19,,,269,    0.235688
20,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,Pickleweed_X176_Y92,,,1,20,,,51,    0.044684
21,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,pickleweed_X184_Y134,,,1,21,,,272,    0.238316
22,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,pickleweed_X189_Y52,,,1,22,,,71,    0.062208
23,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,pickleweed_X201_Y133,,,1,23,,,243,    0.212908
24,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,pickleweed_X215_Y133,,,1,24,,,22,    0.019276
25,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,Uplands_X168_Y121,,,1,25,,,924,    0.809575
26,2,BARE SOIL-GREEN VEG,baresoil_X181_Y117,Uplands_X188_Y51,,,1,26,,,379,    0.332066
27,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,greenveg_X186_Y103,,,2,14,,,8,    0.007009
28,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,greenveg_X218_Y247,,,2,15,,,806,    0.706187
29,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,greenveg_X225_Y41,,,2,16,,,14,    0.012266
30,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,greenveg_X83_Y198,,,2,17,,,72,    0.063084
31,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,pickleweed_X174_Y231,,,2,18,,,32,    0.028037
32,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,pickleweed_X175_Y92,,,2,19,,,708,    0.620323
33,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,Pickleweed_X176_Y92,,,2,20,,,142,    0.124415
34,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,pickleweed_X184_Y134,,,2,21,,,445,    0.389893
35,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,pickleweed_X189_Y52,,,2,22,,,110,    0.096378
36,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,pickleweed_X201_Y133,,,2,23,,,337,    0.295267
37,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,pickleweed_X215_Y133,,,2,24,,,67,    0.058703
38,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,Uplands_X168_Y121,,,2,25,,,1291,    1.131127
39,2,BARE SOIL-GREEN VEG,baresoil_X182_Y112,Uplands_X188_Y51,,,2,26,,,136,    0.119158
40,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,greenveg_X186_Y103,,,3,14,,,6,    0.005257
41,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,greenveg_X218_Y247,,,3,15,,,212,    0.185747
42,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,greenveg_X225_Y41,,,3,16,,,13,    0.011390
43,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,greenveg_X83_Y198,,,3,17,,,171,    0.149824
44,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,pickleweed_X174_Y231,,,3,18,,,3,    0.002628
45,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,pickleweed_X175_Y92,,,3,19,,,38,    0.033294
46,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,Pickleweed_X176_Y92,,,3,20,,,8,    0.007009
47,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,pickleweed_X184_Y134,,,3,21,,,125,    0.109520
48,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,pickleweed_X189_Y52,,,3,22,,,24,    0.021028
49,2,BARE SOIL-GREEN VEG,baresoil_X184_Y150,pickleweed_X201_Y133,,,3,23,,,88,    0.077102
