Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,#pixels,%pixels
33,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420a.13m.asd                 No-OAR,0,21,56,0,0
34,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420a.15m.asd                 No-OAR,0,21,57,2,    0.001752
35,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420a.16m.asd                 No-OAR,0,21,58,0,0
36,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,21,59,0,0
37,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,21,60,0,0
38,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.24m.asd                 No-OAR,0,21,61,0,0
39,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,21,62,0,0
40,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,21,63,0,0
41,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,220420c.20m.asd                 No-OAR,0,21,64,0,0
42,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Pickleweed_X157_Y148,0,21,65,0,0
43,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Pickleweed_X166_Y88,0,21,66,0,0
44,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Pickleweed_X175_Y92,0,21,67,0,0
45,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Pickleweed_X179_Y140,0,21,68,0,0
46,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Pickleweed_X198_Y49,0,21,69,0,0
47,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Uplands_X113_Y71,0,21,70,0,0
48,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.16m.asd                 No-OAR,Uplands_X188_Y50,0,21,71,0,0
49,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420a.13m.asd                 No-OAR,0,22,56,0,0
50,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420a.15m.asd                 No-OAR,0,22,57,0,0
51,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420a.16m.asd                 No-OAR,0,22,58,0,0
52,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,22,59,0,0
