Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
54,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X201_Y50,,,,2,,24,,,,0,0
55,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.26m.asd                 No-OAR,,,,2,,25,,,,0,0
56,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,220302b.24m.asd                 No-OAR,,,,3,,21,,,,0,0
57,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,220302b.20m.asd                 No-OAR,,,,3,,22,,,,0,0
58,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X177_Y93,,,,3,,23,,,,0,0
59,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,Pickleweed_X201_Y50,,,,3,,24,,,,0,0
60,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X172_Y224,,220302b.26m.asd                 No-OAR,,,,3,,25,,,,0,0
61,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X203_Y211,,,0,,,26,,,0,0
62,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X202_Y211,,,0,,,27,,,0,0
63,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y59,,,0,,,28,,,0,0
64,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y60,,,0,,,29,,,0,0
65,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X203_Y211,,,1,,,26,,,0,0
66,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X202_Y211,,,1,,,27,,,0,0
67,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y59,,,1,,,28,,,0,0
68,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y60,,,1,,,29,,,0,0
69,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X203_Y211,,,2,,,26,,,0,0
70,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X202_Y211,,,2,,,27,,,0,0
71,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y59,,,2,,,28,,,0,0
72,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y60,,,2,,,29,,,0,0
73,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X203_Y211,,,3,,,26,,,0,0
74,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X202_Y211,,,3,,,27,,,0,0
75,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y59,,,3,,,28,,,0,0
76,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y60,,,3,,,29,,,0,0
77,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X143_Y104,,0,,,,33,,0,0
78,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X232_Y23,,0,,,,34,,0,0
79,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X233_Y22,,0,,,,35,,0,0
80,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X143_Y104,,1,,,,33,,0,0
81,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X232_Y23,,1,,,,34,,0,0
82,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X233_Y22,,1,,,,35,,0,0
83,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X143_Y104,,2,,,,33,,0,0
84,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X232_Y23,,2,,,,34,,0,0
85,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X233_Y22,,2,,,,35,,0,0
86,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X143_Y104,,3,,,,33,,0,0
87,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X232_Y23,,3,,,,34,,0,0
88,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X233_Y22,,3,,,,35,,0,0
89,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X199_Y103,0,,,,,36,0,0
90,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X210_Y122,0,,,,,37,0,0
91,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X198_Y103,0,,,,,38,0,0
92,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X174_Y193,0,,,,,39,0,0
93,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X199_Y103,1,,,,,36,0,0
94,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X210_Y122,1,,,,,37,0,0
95,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X198_Y103,1,,,,,38,0,0
96,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X174_Y193,1,,,,,39,0,0
97,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X199_Y103,2,,,,,36,0,0
98,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X210_Y122,2,,,,,37,0,0
99,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X198_Y103,2,,,,,38,0,0
100,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X174_Y193,2,,,,,39,0,0
101,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X199_Y103,3,,,,,36,0,0
102,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X210_Y122,3,,,,,37,0,0
103,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X198_Y103,3,,,,,38,0,0
104,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X174_Y193,3,,,,,39,0,0
105,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,220302b.24m.asd                 No-OAR,,,,,4,21,,,,0,0
106,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,220302b.20m.asd                 No-OAR,,,,,4,22,,,,0,0
107,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X177_Y93,,,,,4,23,,,,0,0
108,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X201_Y50,,,,,4,24,,,,0,0
109,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,220302b.26m.asd                 No-OAR,,,,,4,25,,,,0,0
