Output of VIPER 2 Tools EAR/MASA/COB routine: Wed Jan 31 14:13:57 2024

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
220420c.6m.asd                 No-OAR, GREEN VEG,   2.63821e-06,      0.191703,            0,            0,       0.00000
220420b.14m.asd                 No-OAR, GREEN VEG,   3.26557e-06,      0.233495,            0,            0,       0.00000
220420a.24m.asd                 No-OAR, MIXED,   2.86954e-06,      0.143162,            0,            0,       0.00000
220420a.18m.asd                 No-OAR, MIXED,   2.97993e-06,      0.153005,            0,            0,       0.00000
220420b.18m.asd                 No-OAR, MIXED,   3.10165e-06,      0.154854,            0,            0,       0.00000
220420d.7m.asd                 No-OAR, GREEN VEG,   2.53761e-06,      0.176405,            0,            0,       0.00000
220420b.7m.asd                 No-OAR, GREEN VEG,   2.42264e-06,      0.169745,            0,            0,       0.00000
220420a.17m.asd                 No-OAR, MIXED,   2.73735e-06,      0.136439,            0,            0,       0.00000
220420a.7m.asd                 No-OAR, NPV,   3.18506e-06,      0.165111,            0,            0,       0.00000
220420c.18m.asd                 No-OAR, GREEN VEG,   2.80501e-06,      0.202367,            0,            0,       0.00000
220420b.28m.asd                 No-OAR, NPV,   2.24352e-06,      0.117968,            0,            0,       0.00000
220420a.31m.asd                 No-OAR, MIXED,   2.71602e-06,      0.144540,            0,            0,       0.00000
220420a.6m.asd                 No-OAR, MIXED,   2.95368e-06,      0.145328,            0,            0,       0.00000
220420b.25m.asd                 No-OAR, NPV,   2.58725e-06,      0.135030,            0,            0,       0.00000
220420c.31m.asd                 No-OAR, BARE SOIL,   5.39335e-06,      0.199085,            0,            0,       0.00000
220420a.5m.asd                 No-OAR, NPV,   2.51613e-06,      0.129948,            0,            0,       0.00000
220420c.4m.asd                 No-OAR, GREEN VEG,   2.98726e-06,      0.216917,            0,            0,       0.00000
220420a.8m.asd                 No-OAR, MIXED,   3.32674e-06,      0.165400,            0,            0,       0.00000
220420a.11m.asd                 No-OAR, MIXED,   3.26244e-06,      0.161612,            0,            0,       0.00000
220420b.31m.asd                 No-OAR, MIXED,   2.90393e-06,      0.152973,            0,            0,       0.00000
220420b.21m.asd                 No-OAR, BARE SOIL,   4.99471e-06,      0.191468,            0,            0,       0.00000
220420c.10m.asd                 No-OAR, GREEN VEG,   2.58001e-06,      0.187427,            0,            0,       0.00000
220420b.17m.asd                 No-OAR, GREEN VEG,   3.47486e-06,      0.252727,            0,            0,       0.00000
220420c.14m.asd                 No-OAR, NPV,   3.49070e-06,      0.188309,            0,            0,       0.00000
220420b.5m.asd                 No-OAR, GREEN VEG,   2.60313e-06,      0.184824,            0,            0,       0.00000
220420a.13m.asd                 No-OAR, NPV,   2.18126e-06,      0.117393,            0,            0,       0.00000
220420c.8m.asd                 No-OAR, GREEN VEG,   2.79708e-06,      0.203760,            0,            0,       0.00000
220420c.30m.asd                 No-OAR, BARE SOIL,   5.21343e-06,      0.196630,            0,            0,       0.00000
220420b.1m.asd                 No-OAR, GREEN VEG,   2.92760e-06,      0.213650,            0,            0,       0.00000
220420b.16m.asd                 No-OAR, NPV,   2.45838e-06,      0.131348,            0,            0,       0.00000
220420b.29m.asd                 No-OAR, BARE SOIL,   5.27950e-06,      0.196872,            0,            0,       0.00000
220420a.28m.asd                 No-OAR, MIXED,   3.38867e-06,      0.167919,            0,            0,       0.00000
